id_str	concept	No	Yes	total	percent_no	percent_yes	stratum	num_words	score	model
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	1.0	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	0.3459762562611936	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	0.0	Meta-Llama-3.1-70B-Instruct_zeroshot_description_count
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	0.0	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	1.0	gpt-4-turbo-2024-04-09_zeroshot_baseline_count
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	0.3459762562611936	gpt-4-turbo-2024-04-09_zeroshot_baseline_score
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	0.0	gpt-4-turbo-2024-04-09_zeroshot_description_count
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	0.0	gpt-4-turbo-2024-04-09_zeroshot_description_score
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	1.0	gpt-4o-2024-08-06_zeroshot_baseline_count
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	0.3459762562611936	gpt-4o-2024-08-06_zeroshot_baseline_score
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	0.0	gpt-4o-2024-08-06_zeroshot_description_count
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	3	17.0	0.0	gpt-4o-2024-08-06_zeroshot_description_score
1000206422448062464	animal	10.0	2.0	12.0	0.8333333333333334	0.16666666666666666	3	26.0	1.0	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_count
1000206422448062464	animal	10.0	2.0	12.0	0.8333333333333334	0.16666666666666666	3	26.0	0.30341307554227914	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score
